file,running_time(s),iseffective
3x3_1,0.059838,True
3x3_10,1.300524,True
3x3_2,1.447132,True
3x3_3,0.598399,True
3x3_4,1.686521,True
3x3_5,0.227353,True
3x3_6,0.312165,True
3x3_7,0.278256,True
3x3_8,0.241354,True
3x3_9,0.124666,True
