file,running_time(s),iseffective
3x3_1,0.004953,True
3x3_10,0.001992,True
3x3_2,0.006014,True
3x3_3,0.005021,True
3x3_4,0.002989,True
3x3_5,0.001991,True
3x3_6,0.003989,True
3x3_7,0.000994,True
3x3_8,0.002955,True
3x3_9,0.005028,True
