file,running_time(s),iseffective
3x3_1,0.001013,True
3x3_10,0.000993,True
3x3_2,0.105591,True
3x3_3,0.001994,True
3x3_4,0.000997,True
3x3_5,0.000997,True
3x3_6,0.097221,True
3x3_7,0.001003,True
3x3_8,0.002033,True
3x3_9,0.000996,True
