file,running_time(s),iseffective
3x3_1,0.000996,True
3x3_10,0.000998,True
3x3_2,0.106730,True
3x3_3,0.002009,True
3x3_4,0.001050,True
3x3_5,0.000999,True
3x3_6,0.099264,True
3x3_7,0.001995,True
3x3_8,0.003002,True
3x3_9,0.000997,True
