file,running_time(s),iseffective
3x3_1,0.002944,True
3x3_10,0.000996,True
3x3_2,0.002992,True
3x3_3,0.099500,True
3x3_4,0.001038,True
3x3_5,0.002989,True
3x3_6,0.005015,True
3x3_7,0.001991,True
3x3_8,0.000954,True
3x3_9,0.005008,True
