file,running_time(s),iseffective
3x3_1,0.005983,True
3x3_10,0.056807,True
3x3_2,0.125660,True
3x3_3,0.028921,True
3x3_4,0.097735,True
3x3_5,0.008976,True
3x3_6,0.037899,True
3x3_7,0.046904,True
3x3_8,0.006952,True
3x3_9,0.008976,True
